id sexo altura peso
1 Masculino 1.61 85.36
2 Feminino 1.57 43.4
3 Feminino 1.73 58.74
4 Feminino 1.52 60.37
5 Feminino 1.7 56.25
6 Feminino 1.5 51.96
7 Feminino 1.51 69.12
8 Masculino 1.82 85.3
9 Masculino 1.84 87.62
10 Masculino 1.7 81.26
11 Feminino 1.54 50.57
12 Feminino 1.7 58.35
13 Feminino 1.57 48.65
14 Masculino 1.92 81.89
15 Masculino 1.69 83.17
16 Feminino 1.4 48.54
17 Feminino 1.57 60.37
18 Feminino 1.77 59.84
19 Feminino 1.77 64.22
20 Masculino 1.7 84.7
21 Feminino 1.55 59.03
22 Feminino 1.63 56.23
23 Feminino 1.48 50.81
24 Masculino 1.81 83.56
25 Feminino 1.4 54.42
26 Masculino 1.66 77.24
27 Feminino 1.47 51.85
28 Feminino 1.45 51.3
29 Masculino 1.58 86.94
30 Masculino 1.53 82.27
31 Masculino 1.71 92.75
32 Feminino 1.4 53.72
33 Feminino 1.76 54.54
34 Masculino 1.79 85.17
35 Feminino 1.3 54.97
36 Masculino 1.81 88.33
37 Masculino 1.85 87.57
38 Masculino 1.83 79.42
39 Masculino 1.89 86.82
40 Masculino 1.61 92.56
41 Feminino 1.36 60.08
42 Masculino 2.04 86.97
43 Feminino 1.81 51.69
44 Masculino 1.49 89.3
45 Masculino 1.74 85.49
46 Masculino 1.9 84.6
47 Feminino 1.44 63.33
48 Masculino 1.82 88.53
49 Masculino 1.63 89.53
50 Masculino 1.68 87.48
51 Feminino 1.49 51.32
52 Masculino 1.76 88.13
53 Feminino 1.6 52.63
54 Feminino 1.65 51.21
55 Feminino 1.47 55.89
56 Feminino 1.64 52.24
57 Feminino 1.59 56.06
58 Masculino 1.89 72.52
59 Masculino 1.91 81.04
60 Masculino 1.84 77.95
61 Masculino 1.83 92.19
62 Masculino 1.74 86.7
63 Masculino 1.72 84.98
64 Feminino 1.6 49.84
65 Feminino 1.43 52.6
66 Masculino 1.8 80.58
67 Feminino 1.51 52.81
68 Masculino 1.85 85.72
69 Feminino 1.59 55.3
70 Masculino 1.74 91.82
71 Masculino 1.73 82.57
72 Masculino 1.73 90.27
73 Masculino 1.79 83.58
74 Feminino 1.57 56.37
75 Feminino 1.61 66.18
76 Masculino 1.88 91.86
77 Feminino 1.52 55.24
78 Feminino 1.51 58.62
79 Masculino 1.84 83.61
80 Feminino 1.74 55.81
81 Masculino 1.66 84.93
82 Masculino 1.86 94.15
83 Feminino 1.74 53.39
84 Masculino 1.85 74.31
85 Feminino 1.61 64.92
86 Masculino 1.83 78.55
87 Masculino 1.82 79.29
88 Feminino 1.47 54.41
89 Masculino 1.74 86.84
90 Masculino 1.82 88
91 Masculino 1.79 82.13
92 Masculino 1.68 83.42
93 Feminino 1.49 51.33
94 Feminino 1.47 55.01
95 Feminino 1.62 61.47
96 Feminino 1.41 54.13
97 Feminino 1.48 51.93
98 Feminino 1.58 56.31
99 Feminino 1.6 52.87
100 Feminino 1.69 69.21
